"ITTER107","Territorio","SEXISTAT1","Sesso","ETA1","Classe di età","TITOLO_STUDIO","Titolo di studio","CITTADINANZA","Cittadinanza","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","2","femmine","Y_GE15","15 anni e più","11","laurea e post-laurea","ITL","italiano-a","2020-Q4","T4-2020",2947.374,,
"IT","Italia","2","femmine","Y_GE15","15 anni e più","99","totale","ITL","italiano-a","2019","2019",8778.208,,
"IT","Italia","2","femmine","Y_GE15","15 anni e più","99","totale","ITL","italiano-a","2019-Q1","T1-2019",8679.219,,
"IT","Italia","2","femmine","Y_GE15","15 anni e più","99","totale","ITL","italiano-a","2019-Q2","T2-2019",8911.647,,
"IT","Italia","2","femmine","Y_GE15","15 anni e più","99","totale","ITL","italiano-a","2019-Q4","T4-2019",8772.785,,
"IT","Italia","2","femmine","Y_GE15","15 anni e più","99","totale","ITL","italiano-a","2019-Q3","T3-2019",8749.181,,
"IT","Italia","2","femmine","Y_GE15","15 anni e più","99","totale","ITL","italiano-a","2020","2020",8638.69,,
"IT","Italia","2","femmine","Y_GE15","15 anni e più","99","totale","ITL","italiano-a","2020-Q2","T2-2020",8582.843,,
"IT","Italia","2","femmine","Y_GE15","15 anni e più","99","totale","ITL","italiano-a","2020-Q1","T1-2020",8740.874,,
"IT","Italia","2","femmine","Y_GE15","15 anni e più","99","totale","ITL","italiano-a","2020-Q3","T3-2020",8508.091,,
"IT","Italia","2","femmine","Y_GE15","15 anni e più","99","totale","ITL","italiano-a","2020-Q4","T4-2020",8722.952,,
"IT","Italia","9","totale","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2019","2019",444.81,,
"IT","Italia","9","totale","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2019-Q1","T1-2019",432.467,,
"IT","Italia","9","totale","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2019-Q2","T2-2019",465.945,,
"IT","Italia","9","totale","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2019-Q4","T4-2019",433.403,,
"IT","Italia","9","totale","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2019-Q3","T3-2019",447.428,,
"IT","Italia","9","totale","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2020","2020",407.336,,
"IT","Italia","9","totale","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2020-Q2","T2-2020",435.226,,
"IT","Italia","9","totale","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2020-Q1","T1-2020",385.946,,
"IT","Italia","9","totale","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2020-Q3","T3-2020",421.152,,
"IT","Italia","9","totale","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2020-Q4","T4-2020",387.022,,
"IT","Italia","9","totale","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2019","2019",5368.097,,
"IT","Italia","9","totale","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2019-Q1","T1-2019",5247.66,,
